Entity,Year,Deaths - Ambient ozone pollution
South Korea,2002,3.651727488
South Korea,2003,3.495504349
South Korea,2004,3.307622757
South Korea,2005,3.089528415
South Korea,2006,2.881543857
South Korea,2007,2.728459295
South Korea,2008,2.568723733
South Korea,2009,2.41727359
South Korea,2010,2.330451187
South Korea,2011,2.273458598
South Korea,2012,2.203479801
South Korea,2013,2.102840975
South Korea,2014,1.999991463
South Korea,2015,2.002496187
South Korea,2016,1.994571766
South Korea,2017,2.020468181
Thailand,1990,2.598857749
Thailand,1991,2.61133469
Thailand,1992,2.630470618
Thailand,1993,2.659207835
Thailand,1994,2.584684151
Thailand,1995,2.522700018
Thailand,1996,2.506196769
Thailand,1997,2.333966104
Thailand,1998,2.242512973
Thailand,1999,2.211525371
Thailand,2000,2.080500913
Thailand,2001,1.892961997
Thailand,2002,1.815865781
Thailand,2003,1.715763296
Thailand,2004,1.641815212
Thailand,2005,1.577883902
Thailand,2006,1.485458055
Thailand,2007,1.396835235
Thailand,2008,1.311812828
Thailand,2009,1.216407718
Thailand,2010,1.174124185
Thailand,2011,1.113751634
Thailand,2012,1.030765101
Thailand,2013,0.945662519
Thailand,2014,0.901114147
Thailand,2015,0.855874338
Thailand,2016,0.857751004
Thailand,2017,0.87757681
Vietnam,1990,2.80419522
Vietnam,1991,2.818083599
Vietnam,1992,2.832704283
Vietnam,1993,2.842668318
Vietnam,1994,2.85310537
Vietnam,1995,2.858815016
Vietnam,1996,2.858050294
Vietnam,1997,2.86129476
Vietnam,1998,2.871159482
Vietnam,1999,2.895328645
Vietnam,2000,2.943939015
Vietnam,2001,2.970999919
Vietnam,2002,2.971493223
Vietnam,2003,2.960099128
Vietnam,2004,2.942401628
Vietnam,2005,2.914470002
Vietnam,2006,2.877344949
Vietnam,2007,2.825880209
Vietnam,2008,2.773284857
Vietnam,2009,2.717993841
Vietnam,2010,2.671905446
Vietnam,2011,2.642418627
Vietnam,2012,2.620761489
Vietnam,2013,2.609330147
Vietnam,2014,2.609435147
Vietnam,2015,2.613888617
Vietnam,2016,2.625100525
Vietnam,2017,2.634433991
